table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Richmond County, Virginia,"8,919","9,077","9,126","9,184"
.Roanoke County, Virginia,"96,923","96,671","96,756","97,026"
.Rockbridge County, Virginia,"22,650","22,638","22,568","22,358"
.Rockingham County, Virginia,"83,774","84,518","85,414","86,568"
.Russell County, Virginia,"25,757","25,572","25,437","25,477"
.Scott County, Virginia,"21,589","21,476","21,480","21,433"
.Shenandoah County, Virginia,"44,265","44,842","44,936","45,228"
.Smyth County, Virginia,"29,787","29,608","29,408","29,216"
.Southampton County, Virginia,"17,953","18,024","17,899","17,975"
.Spotsylvania County, Virginia,"140,604","144,003","146,828","149,588"
.Stafford County, Virginia,"157,765","161,568","163,169","165,428"
.Surry County, Virginia,"6,551","6,533","6,527","6,593"
.Sussex County, Virginia,"10,787","10,815","10,640","10,757"
.Tazewell County, Virginia,"40,407","39,950","39,563","39,120"
.Warren County, Virginia,"40,792","40,965","41,404","41,843"
.Washington County, Virginia,"53,895","53,735","53,855","54,050"
.Westmoreland County, Virginia,"18,511","18,772","18,765","19,013"
.Wise County, Virginia,"36,064","35,681","35,327","35,174"
.Wythe County, Virginia,"28,324","28,201","28,115","28,104"
.York County, Virginia,"70,232","71,104","71,164","70,952"
.Alexandria city, Virginia,"159,139","155,105","155,045","155,230"
.Bristol city, Virginia,"17,299","17,065","16,940","16,807"
.Buena Vista city, Virginia,"6,622","6,622","6,569","6,566"
.Charlottesville city, Virginia,"46,469","45,746","45,272","44,983"
.Chesapeake city, Virginia,"249,781","251,763","252,459","253,886"
.Colonial Heights city, Virginia,"18,189","18,225","18,278","18,393"
.Covington city, Virginia,"5,745","5,716","5,633","5,545"
.Danville city, Virginia,"42,579","42,285","42,017","41,837"
.Emporia city, Virginia,"5,707","5,638","5,533","5,463"
.Fairfax city, Virginia,"24,177","24,353","24,752","25,144"
.Falls Church city, Virginia,"14,681","14,516","14,489","14,685"
.Franklin city, Virginia,"8,146","8,152","8,274","8,339"
.Fredericksburg city, Virginia,"27,991","28,437","28,648","28,928"
.Galax city, Virginia,"6,715","6,653","6,702","6,717"
.Hampton city, Virginia,"137,280","137,760","137,858","137,098"
.Harrisonburg city, Virginia,"51,706","51,497","51,150","51,082"
.Hopewell city, Virginia,"23,009","23,073","22,790","22,752"
.Lexington city, Virginia,"7,324","7,455","7,506","7,528"
.Lynchburg city, Virginia,"78,979","79,114","79,228","79,535"
.Manassas city, Virginia,"42,692","42,764","42,673","42,696"
.Manassas Park city, Virginia,"17,162","17,089","16,693","16,361"
.Martinsville city, Virginia,"13,474","13,534","13,697","13,763"
.Newport News city, Virginia,"186,047","184,691","183,980","183,118"
.Norfolk city, Virginia,"237,789","234,862","232,558","230,930"
.Norton city, Virginia,"3,681","3,632","3,589","3,492"
.Petersburg city, Virginia,"33,396","33,411","33,462","33,309"
.Poquoson city, Virginia,"12,473","12,628","12,624","12,635"
.Portsmouth city, Virginia,"97,955","97,652","96,954","96,793"
.Radford city, Virginia,"16,119","16,527","16,719","16,971"
.Richmond city, Virginia,"226,936","227,140","228,367","229,247"
.Roanoke city, Virginia,"99,891","98,700","97,657","97,171"
.Salem city, Virginia,"25,403","25,416","25,700","25,600"
.Staunton city, Virginia,"25,812","25,689","25,940","25,915"
.Suffolk city, Virginia,"94,750","96,337","98,426","100,659"
.Virginia Beach city, Virginia,"459,684","458,569","455,069","453,649"
.Waynesboro city, Virginia,"22,279","22,606","22,799","23,182"
.Williamsburg city, Virginia,"15,471","15,609","15,685","15,847"
.Winchester city, Virginia,"28,013","28,092","27,861","27,617"
.Adams County, Washington,"20,607","20,647","20,898","20,820"
.Asotin County, Washington,"22,324","22,469","22,536","22,549"
.Benton County, Washington,"207,419","210,599","212,829","215,219"
.Chelan County, Washington,"79,238","79,778","80,038","79,997"
.Clallam County, Washington,"77,367","78,466","77,684","77,616"
.Clark County, Washington,"505,338","512,583","516,737","521,150"
.Columbia County, Washington,"3,949","4,016","4,026","4,053"
.Cowlitz County, Washington,"111,014","111,685","112,064","112,864"
.Douglas County, Washington,"43,029","43,837","44,223","44,798"
.Ferry County, Washington,"7,198","7,290","7,468","7,497"
.Franklin County, Washington,"97,150","98,102","98,582","99,034"
.Garfield County, Washington,"2,294","2,344","2,357","2,363"
.Grant County, Washington,"99,441","100,427","101,580","102,678"
.Grays Harbor County, Washington,"75,855","76,838","77,041","77,290"
.Island County, Washington,"86,998","87,566","86,682","86,267"
.Jefferson County, Washington,"33,061","33,553","33,570","33,714"
.King County, Washington,"2,274,282","2,252,980","2,265,311","2,271,380"
.Kitsap County, Washington,"275,823","276,589","277,813","277,658"
.Kittitas County, Washington,"44,599","44,645","45,122","45,508"
.Klickitat County, Washington,"22,814","23,167","23,303","23,589"
.Lewis County, Washington,"82,553","84,569","85,357","86,154"
.Lincoln County, Washington,"10,928","11,284","11,613","11,738"
.Mason County, Washington,"66,034","67,246","68,171","68,389"
.Okanogan County, Washington,"42,139","42,772","43,460","43,712"
.Pacific County, Washington,"23,495","23,993","24,095","24,200"
.Pend Oreille County, Washington,"13,502","13,891","14,138","14,361"
.Pierce County, Washington,"923,589","927,402","926,479","928,696"
.San Juan County, Washington,"17,826","18,618","18,672","18,566"
.Skagit County, Washington,"129,902","131,005","131,322","131,417"
.Skamania County, Washington,"12,041","12,209","12,455","12,640"
.Snohomish County, Washington,"829,933","836,097","840,452","844,761"
.Spokane County, Washington,"541,175","545,510","549,740","551,455"
.Stevens County, Washington,"46,591","47,619","48,283","48,837"
.Thurston County, Washington,"295,998","298,196","298,639","299,003"
.Wahkiakum County, Washington,"4,448","4,586","4,688","4,765"
.Walla Walla County, Washington,"62,623","62,211","61,853","61,568"
.Whatcom County, Washington,"227,449","226,701","230,598","231,919"
.Whitman County, Washington,"47,807","43,224","47,579","48,012"
.Yakima County, Washington,"256,733","256,719","257,019","256,643"
.Barbour County, West Virginia,"15,467","15,449","15,391","15,378"
.Berkeley County, West Virginia,"122,699","126,180","129,379","132,440"
.Boone County, West Virginia,"21,744","21,353","20,907","20,576"
.Braxton County, West Virginia,"12,398","12,296","12,170","12,162"
.Brooke County, West Virginia,"22,476","22,068","21,694","21,373"
.Cabell County, West Virginia,"94,240","93,408","92,485","92,082"
.Calhoun County, West Virginia,"6,199","6,173","6,069","5,959"
.Clay County, West Virginia,"8,005","7,905","7,840","7,783"
.Doddridge County, West Virginia,"7,786","7,738","7,712","7,680"
.Fayette County, West Virginia,"40,428","40,036","39,388","39,072"
.Gilmer County, West Virginia,"7,396","7,392","7,330","7,254"
.Grant County, West Virginia,"10,990","10,992","10,938","10,921"
.Greenbrier County, West Virginia,"32,892","32,687","32,375","32,149"
.Hampshire County, West Virginia,"23,101","23,360","23,457","23,649"
.Hancock County, West Virginia,"29,038","28,595","28,254","28,145"
.Hardy County, West Virginia,"14,239","14,143","14,168","14,251"
.Harrison County, West Virginia,"65,838","65,402","64,752","64,639"
.Jackson County, West Virginia,"27,723","27,781","27,667","27,593"
.Jefferson County, West Virginia,"57,785","58,541","59,001","59,787"
.Kanawha County, West Virginia,"180,233","178,073","175,864","174,805"
.Lewis County, West Virginia,"17,020","16,874","16,674","16,500"
.Lincoln County, West Virginia,"20,363","20,188","19,851","19,701"
.Logan County, West Virginia,"32,514","31,846","31,206","30,827"
.McDowell County, West Virginia,"18,935","18,406","17,806","17,439"
.Marion County, West Virginia,"56,240","56,053","55,784","55,807"
.Marshall County, West Virginia,"30,494","30,164","29,667","29,405"
.Mason County, West Virginia,"25,403","25,266","24,911","24,765"
.Mercer County, West Virginia,"59,519","59,156","58,612","58,057"
.Mineral County, West Virginia,"26,889","26,897","26,902","26,867"
.Mingo County, West Virginia,"23,488","23,052","22,445","22,023"
.Monongalia County, West Virginia,"105,912","106,521","106,978","107,718"
.Monroe County, West Virginia,"12,384","12,388","12,322","12,382"
.Morgan County, West Virginia,"17,087","17,300","17,435","17,649"
.Nicholas County, West Virginia,"24,558","24,429","24,309","24,169"
.Ohio County, West Virginia,"42,341","41,846","41,463","41,194"
.Pendleton County, West Virginia,"6,132","6,093","6,067","6,029"
.Pleasants County, West Virginia,"7,650","7,604","7,570","7,428"
.Pocahontas County, West Virginia,"7,860","7,882","7,797","7,765"
.Preston County, West Virginia,"34,188","34,304","34,222","34,099"
.Putnam County, West Virginia,"57,444","57,359","57,063","56,962"
.Raleigh County, West Virginia,"74,394","73,779","72,801","72,356"
.Randolph County, West Virginia,"27,892","27,898","27,552","27,350"
.Ritchie County, West Virginia,"8,423","8,410","8,230","8,167"
.Roane County, West Virginia,"13,987","13,932","13,833","13,743"
.Summers County, West Virginia,"11,939","11,865","11,702","11,581"
.Taylor County, West Virginia,"16,691","16,528","16,410","16,388"
.Tucker County, West Virginia,"6,747","6,693","6,620","6,604"
.Tyler County, West Virginia,"8,291","8,205","8,090","7,919"
.Upshur County, West Virginia,"23,814","23,803","23,705","23,529"
.Wayne County, West Virginia,"38,873","38,564","37,980","37,686"
.Webster County, West Virginia,"8,356","8,271","8,141","8,045"
.Wetzel County, West Virginia,"14,405","14,202","13,994","13,890"
.Wirt County, West Virginia,"5,188","5,066","5,092","5,000"
.Wood County, West Virginia,"84,142","83,804","83,388","83,052"
.Wyoming County, West Virginia,"21,322","21,029","20,572","20,277"
.Adams County, Wisconsin,"20,677","20,837","21,252","21,449"
.Ashland County, Wisconsin,"16,022","16,048","16,040","16,079"
.Barron County, Wisconsin,"46,737","46,709","46,715","46,833"
.Bayfield County, Wisconsin,"16,237","16,322","16,659","16,769"
.Brown County, Wisconsin,"268,951","268,899","270,068","271,417"
.Buffalo County, Wisconsin,"13,309","13,325","13,390","13,419"
.Burnett County, Wisconsin,"16,577","16,755","16,988","17,092"
.Calumet County, Wisconsin,"52,485","52,583","52,712","53,199"
.Chippewa County, Wisconsin,"66,341","66,590","66,753","66,970"
.Clark County, Wisconsin,"34,672","34,762","34,732","34,774"
.Columbia County, Wisconsin,"58,533","58,445","58,228","58,091"
.Crawford County, Wisconsin,"16,085","16,097","16,015","15,944"
.Dane County, Wisconsin,"562,615","561,542","567,758","575,347"
.Dodge County, Wisconsin,"89,353","88,689","88,374","88,231"
.Door County, Wisconsin,"30,117","30,425","30,551","30,562"
.Douglas County, Wisconsin,"44,351","44,055","44,226","44,264"
.Dunn County, Wisconsin,"45,440","44,518","45,622","45,794"
.Eau Claire County, Wisconsin,"105,897","106,017","106,786","107,903"
.Florence County, Wisconsin,"4,565","4,593","4,706","4,682"
.Fond du Lac County, Wisconsin,"104,169","104,116","103,812","103,948"
.Forest County, Wisconsin,"9,169","9,257","9,332","9,325"
.Grant County, Wisconsin,"51,985","51,296","51,315","51,409"
.Green County, Wisconsin,"37,035","37,066","36,885","36,951"
.Green Lake County, Wisconsin,"19,017","19,249","19,208","19,344"
.Iowa County, Wisconsin,"23,719","23,807","23,958","23,956"
.Iron County, Wisconsin,"6,139","6,172","6,199","6,228"
.Jackson County, Wisconsin,"21,096","20,915","20,893","20,855"
.Jefferson County, Wisconsin,"86,208","85,782","85,725","85,743"
.Juneau County, Wisconsin,"26,775","26,763","26,775","26,594"
.Kenosha County, Wisconsin,"169,195","168,414","167,637","167,488"
.Kewaunee County, Wisconsin,"20,563","20,589","20,653","20,690"
.La Crosse County, Wisconsin,"120,921","119,331","120,252","120,486"
.Lafayette County, Wisconsin,"16,618","16,830","16,906","16,945"
.Langlade County, Wisconsin,"19,463","19,479","19,502","19,404"
.Lincoln County, Wisconsin,"28,426","28,457","28,355","28,405"
.Manitowoc County, Wisconsin,"81,387","81,506","81,198","81,331"
.Marathon County, Wisconsin,"138,078","137,755","137,955","138,612"
.Marinette County, Wisconsin,"41,889","41,858","41,966","42,106"
.Marquette County, Wisconsin,"15,590","15,784","15,777","15,838"
.Menominee County, Wisconsin,"4,257","4,297","4,206","4,226"
.Milwaukee County, Wisconsin,"938,550","924,276","918,078","916,205"
.Monroe County, Wisconsin,"46,300","46,083","45,894","46,151"
.Oconto County, Wisconsin,"39,077","39,421","39,696","39,775"
.Oneida County, Wisconsin,"37,869","38,249","38,193","38,226"
.Outagamie County, Wisconsin,"190,966","191,320","192,269","193,234"
.Ozaukee County, Wisconsin,"91,629","92,600","93,021","93,460"
.Pepin County, Wisconsin,"7,341","7,374","7,378","7,441"
.Pierce County, Wisconsin,"42,229","41,606","42,552","43,026"
.Polk County, Wisconsin,"45,039","45,466","45,546","45,762"
.Portage County, Wisconsin,"70,405","69,433","70,634","71,024"
.Price County, Wisconsin,"14,025","14,048","14,159","14,102"
.Racine County, Wisconsin,"197,568","196,505","195,961","196,613"
.Richland County, Wisconsin,"17,283","17,199","17,128","17,197"
.Rock County, Wisconsin,"163,758","164,115","163,841","164,278"
.Rusk County, Wisconsin,"14,175","14,085","14,099","14,143"
.St. Croix County, Wisconsin,"93,872","94,998","95,967","96,763"
.Sauk County, Wisconsin,"65,784","65,702","65,770","65,920"
.Sawyer County, Wisconsin,"18,118","18,226","18,521","18,552"
.Shawano County, Wisconsin,"40,855","40,829","40,987","41,109"
.Sheboygan County, Wisconsin,"118,053","117,687","117,661","117,752"
.Taylor County, Wisconsin,"19,932","19,938","19,941","20,058"
.Trempealeau County, Wisconsin,"30,818","30,723","30,891","30,899"
.Vernon County, Wisconsin,"30,696","30,917","31,063","31,170"
.Vilas County, Wisconsin,"23,097","23,508","23,742","23,885"
.Walworth County, Wisconsin,"105,323","105,296","105,664","105,822"
.Washburn County, Wisconsin,"16,616","16,748","16,871","16,930"
.Washington County, Wisconsin,"136,801","137,253","137,756","138,168"
.Waukesha County, Wisconsin,"407,496","409,108","410,273","412,591"
.Waupaca County, Wisconsin,"51,798","51,986","51,510","51,388"
.Waushara County, Wisconsin,"24,550","24,760","24,927","24,934"
.Winnebago County, Wisconsin,"171,815","170,580","170,688","171,735"
.Wood County, Wisconsin,"74,199","74,005","73,778","73,939"
.Albany County, Wyoming,"37,112","37,854","38,178","38,257"
.Big Horn County, Wyoming,"11,484","11,643","11,879","12,018"
.Campbell County, Wyoming,"47,147","46,543","47,059","47,498"
.Carbon County, Wyoming,"14,509","14,714","14,538","14,334"
.Converse County, Wyoming,"13,746","13,662","13,765","13,809"
.Crook County, Wyoming,"7,178","7,308","7,419","7,592"
.Fremont County, Wyoming,"39,202","39,416","39,566","39,815"
.Goshen County, Wyoming,"12,515","12,568","12,636","12,642"
.Hot Springs County, Wyoming,"4,621","4,595","4,623","4,661"
.Johnson County, Wyoming,"8,467","8,624","8,719","8,759"
.Laramie County, Wyoming,"100,730","100,827","100,781","100,984"
.Lincoln County, Wyoming,"19,658","20,173","20,671","20,880"
.Natrona County, Wyoming,"80,299","79,635","79,523","79,941"
.Niobrara County, Wyoming,"2,454","2,416","2,348","2,354"
.Park County, Wyoming,"29,669","30,141","30,505","30,735"
.Platte County, Wyoming,"8,631","8,677","8,652","8,546"
.Sheridan County, Wyoming,"31,000","31,653","32,035","32,519"
.Sublette County, Wyoming,"8,736","8,722","8,752","8,969"
.Sweetwater County, Wyoming,"42,197","41,626","41,374","41,249"
.Teton County, Wyoming,"23,379","23,605","23,297","23,232"
.Uinta County, Wyoming,"20,457","20,681","20,727","20,745"
.Washakie County, Wyoming,"7,657","7,719","7,724","7,710"
.Weston County, Wyoming,"6,816","6,746","6,858","6,808"
"Vintage 2023 data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0085).  ",,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2023 population estimates series are as of January 1, 2023.",,,,,
